;;;;;;Taux EUR/USD:;$1,10;;;;PRIX PUBLIC;;;PRIX PRO;;; PRIX FRANCHISE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Référence;Ref fournisseur;Fournisseur;PRODUITS;Libellé d'origine;UNIT;PMP ACHAT HT $;PMP ACHAT HT €;Port;PAHT+FRAIS;PAHT+FRAIS;PV PUBLIC HT;MARGE % PRIX PUBLIC; PV PUBLIC TTC ;Prix PRO;Remise CLUB;Marge/ PRIX CLUB; Prix FRANCHISE ;Remise FRANCHISE;Marge FRANCHISE;POIDS Net;"POIDSBrut";Famille Produit;Dimensions;Code Compta;Description;Photos;TVA;Code EAN;Date arrivée catalogue;M3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;;;;PIECE;;;15%;;;;#DIV/0!; -   € ;;#DIV/0!;#DIV/0!; -   € ;#DIV/0!;#DIV/0!;;;;;;;;20,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1491;;WOHLSTAND;1 - CORDE DE TIRAGE;1 - TRICEPS ROPE WITH RUBBER ENDS;PIECE;$3,55;3,23 €;15%;3,71 €;3,71 €;11,20 €;66,86%; 13,44 € ;10,08 €;-10,00%;63,18%; 9,52 € ;-15,00%;58,96%;;0,85;MUSCULATION;70cm;707600;Corde de tirage pour la musculation, accessoire utilisé pour le travail profond des triceps, des trapèzes et des biceps. Complémentaire dans l'utilisation d'appareils à charge guidée.;;20,00%;3760223791419;août-13;0,004579492;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1456;;WOHLSTAND;10 - BARRE DROITE DE TIRAGE DORSAL;;PIECE;$13,12;11,93 €;10%;13,12 €;13,12 €;39,00 €;66,36%; 46,80 € ;39,00 €;;66,36%; 37,05 € ;-5,00%;62,72%;;5,35;MUSCULATION;122cm;707600;"Barre droite de tirage dorsal, accessoire de tirage pour la musculation.Travail profond des dorsaux avec différentes prises de main, renforts souples.Complémentaire dans l'utilisation d'appareils à charge guidée.";;20,00%;3760223791426;août-13;0,01086336;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1518;;WOHLSTAND;2 - TRIANGLE DE TIRAGE AVEC POIGNEES;;PIECE;$5,16;4,69 €;10%;5,16 €;5,16 €;19,00 €;72,84%; 22,80 € ;16,63 €;-12,50%;68,96%; 15,68 € ;-17,50%;65,35%;;2;MUSCULATION;13cm;707600;"Triangle de tirage avec poignées, accessoire de tirage pour la musculation.Travail profond des muscles du dos, poignées avec renforts.Complémentaire dans l'utilisation d'appareils à charge guidée. Idéal pour le travail à la poulie.";;20,00%;3760223793659;août-13;0,004579492;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1686;;WOHLSTAND;3 - POIGNEE DE TIRAGE;;PIECE;$4,80;4,36 €;10%;4,80 €;4,80 €;15,00 €;68,00%; 18,00 € ;14,25 €;-5,00%;66,32%; 13,50 € ;-10,00%;62,57%;;0,9;MUSCULATION;14cm;707600;"Poignée de tirage, accessoire de tirage pour la musculation.Travail des biceps, des pectoraux et des triceps, poignées avec renforts.Complémentaire dans l'utilisation d'appareils à charge guidée. Idéale pour le travail à la poulie.";;20,00%;3760223793666;août-13;0,01086336;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1459;;WOHLSTAND;4 - BARRE ROWING DE TIRAGE DORSAL;;PIECE;$16,64;15,13 €;10%;16,64 €;16,64 €;38,00 €;56,21%; 45,60 € ;38,00 €;;56,21%; 36,10 € ;-5,00%;51,48%;;5,6;MUSCULATION;96cm;707600;"Barre rowing de tirage dorsal, accessoire de tirage pour la musculation.Travail des épaules, du dos et des trapèzes.Complémentaire dans l'utilisation d'appareils à charge guidée. Idéale pour le travail à la poulie.";;20,00%;3760223791433;août-13;0,01086336;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1457;;WOHLSTAND;5 - BARRE ROWING BICEPS TRICEPS;;PIECE;$7,00;6,36 €;10%;7,00 €;7,00 €;19,50 €;64,10%; 23,40 € ;18,53 €;-5,00%;62,21%; 17,55 € ;-10,00%;58,01%;;2,3;MUSCULATION;50cm;707600;"Barre rowing biceps triceps, accessoire de musculation utilisé pour le travail des biceps et des triceps avec différentes prises de main.Complémentaire dans l'utilisation d'appareils à charge guidée. Idéale pour le travail à la poulie.";;20,00%;3760223791440;août-13;0,01086336;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1520;;WOHLSTAND;6 - DOUBLE POIGNEES DE TIRAGE BICEPS-TRICEPS;;PIECE;$9,04;8,22 €;10%;9,04 €;9,04 €;26,00 €;65,23%; 31,20 € ;20,80 €;-20,00%;56,54%; 19,50 € ;-25,00%;51,20%;;3,1;MUSCULATION;50cm;707600;"Double poignée de tirage biceps-triceps, accessoire de tirage utilisé en musculation pour le travail profond des muscles des biceps-triceps. Poignées avec renforts.Complémentaire dans l'utilisation d'appareils à charge guidée. Barre idéale pour le travail à la poulie.";;20,00%;3760223790931;août-13;0,004579492;;;;;;;;;;;;;;;;;;;;;;;;;;;;
